Symbol,Description,Cost basis,Quantity,Segr.,AverageCost,Pos. cost,Mkt. price,Mkt. value,P&L,% return,% port.
AMZN,AMAZON.COM INC,BK,28,28,168.37,4714.44,155.1,4342.8,-371.64,-7.88,6.95
GOOG,ALPHABET INC CLASS C CAPITAL STOCK,BK,40,40,142.39,5695.77,141.72,5668.8,-26.97,-0.47,9.07
AMD,ADVANCED MICRO DEVICES INC COM,BK,31,31,148.11,4591.49,167.69,5198.39,606.9,13.22,8.31
AAPL,APPLE INC,BK,16,16,183.36,2933.75,184.38,2950.08,16.33,0.56,4.72
BLK,BLACKROCK INC,BK,4,4,790.22,3160.87,772.35,3089.4,-71.47,-2.26,4.94
BRKB,BERKSHIRE HATHAWAY INC DEL CL B,BK,42,42,311.15,13068.26,383.56,6109.52,3041.26,23.27,25.77
COST,COSTCO WHOLESALE CORP-NEW,BK,10,10,542.48,5424.75,694.56,6945.6,1520.85,28.04,11.11
MCD,MCDONALDS CORP,BK,9,9,290.18,2611.62,292.58,2633.22,21.6,0.83,4.21
NVDA,NVIDIA CORP,BK,13,13,303.41,3944.36,615.27,7998.51,4054.15,102.78,12.79
TSLA,TESLA INC COMMON STOCK,BK,13,13,293.28,3812.65,187.29,2434.77,-1377.88,-36.14,3.89
